,name,address,age,sex,date_of_birth
1785,Gregory Preston,"2674 Daryl Island
Lake Sean, TN 89363",, Female,1950-10-02
1786,Thomas King,"4239 Gonzalez Village Suite 808
Lake Kevinton, VA 50739",53.0, Male,1966-07-05
1787,Micheal Worthington,"10493 Matthew Alley
Christophertown, LA 79487",-5700.0, Male,1962-05-31
1788,Paul Phillips,"7068 Randall Port
Port Jaimebury, NC 90922",51.0, Female,1968-04-16 00 00 00
1789,Timothy Mitchell,"949 Jeffrey Locks Apt. 530
New Troy, LA 76242",52.0, Male,1967-02-07
1790,James Granstrom,"04565 Steven Drive
East Connieport, OK 94277",59.0, Male,1960-01-29
1791,Larry Cuddy,"618 Tonya Parks
Nancytown, IL 36710",49.0, Male,1970-06-23
1792,Roberto Navarro,"60324 Carol Drive
West Jennifer, CO 46903",, Female,1963-07-02
1793,Gary Prentice,"055 Nolan Club
West Bryanton, UT 15308",52.0, Male,1967-06-04
1794,Michael Johnson,"39831 Michelle Ferry Suite 388
Port Sonya, TX 82035",-5100.0, Male,1968-04-09
1795,Preston Schnader,"5924 Tammy Manors Apt. 428
Ruthmouth, FL 06697",50.0, Female,1969-09-22
1796,George Kidd,"481 Jenkins Branch Suite 358
Solistown, FL 83990",, Male,1961-01-16
1797,Gregory Helton,"USNS Reed
FPO AA 35967",28.0, Male,90-12-04
1798,Kevin Gunter,"4309 Harrison Walk
Port Angela, WY 77252",76.0, Female,1943-10-14
1799,Mack Drake,"497 Sarah Canyon Suite 718
Matthewside, MS 74957",29.0, Male,1990-06-19
1800,Joe Arnold,"129 Adam Freeway
Parkerstad, OK 07966",46.0, Male,1973-10-02
1801,Anthony Chavez,"7516 Joshua Harbor
South Tina, MA 93886",51.0, Female,25/07/1968
1802,John Cremona,"66551 Jacqueline Walks Suite 972
Hernandezside, VT 11420",, Male,1955-07-31
1803,Kevin Crawford,"66662 Amy Fork
Saraside, NE 14001",43.0, Female,1976-06-09 00:00:00
1804,Jerald Spier,"7224 Beth Points
Montesport, ND 65405",42.0, Male,1977/06/08
1805,Steven Mcmahon,"493 Robin Brook Suite 699
Jeffreyville, MO 33094",65.0, Male,1954-07-26
1806,David Lewis,"770 Johnson Centers Suite 086
New Julieshire, KS 42767",, Male,1979-10-22
1807,Robert Brady,"746 Juan Loaf Suite 768
Walkershire, WY 88590",62.0, Male,1956-11-04 00 00 00
1808,Robert Barnes,"004 Perez Forest Suite 437
Larrymouth, OR 09449",34.0, Male,1984-12-25
1809,Steven Athearn,"2876 Lisa Flats Suite 778
North Jasonview, VT 30758",68.0, Male,1951-05-28
1810,Richard Keith,"42463 Christina Run
Danielmouth, WY 92187",69.0, Female,1950-06-28 00 00 00
1811,Lance Palmer,"PSC 3789, Box 2884
APO AA 45129",5000.0, Male,1969-06-12
1812,Randal Louis,"95639 Gordon Alley Apt. 014
Amyview, IA 08273",40.0, Male,1979-08-07
1813,Richard Shinkle,"USS Nicholson
FPO AE 05058",44.0, Female,1975-05-01 00:00:00
1814,Scott Litton,"14463 Jonathan Islands
Gilbertmouth, SC 56015",, Male,1958-11-01
1815,Steven Welch,"4017 Christopher Fort Suite 454
Hurleyville, WA 41904",50.0, Male,69-10-06
1816,Robert Crass,"429 Harris Causeway
Pennyshire, IA 56779",45.0, Male,1974-07-24
1817,Albert Ayers,"601 Randall Knolls
Hardyport, WV 63119",49.0, Male,1969-12-19
1818,Ronald Whitlow,"065 Nelson Forges Apt. 840
Richardborough, VA 55343",52.0, Male,24/11/1966
1819,Douglas Cooper,"17383 Michael Forks Apt. 573
Lancefort, UT 98733",, Male,1965-12-25
1820,Daniel Skrebes,"90925 Dixon Brooks
Margaretchester, ME 94356",70.0, Female,1949-05-01
1821,Willie Stine,"037 Wolfe Summit
Lake Kellimouth, DE 74018",51.0, Male,1968-09-05
1822,Van Mason,"07119 Allen Springs Apt. 535
Tracyfurt, ID 26263",36.0, Male,1982-11-22
1823,Mark Bullis,"Unit 4171 Box 0744
DPO AE 01707",-4900.0, Male,1970-01-01 00 00 00
1824,Ernest Barton,"5873 Cheryl Roads Suite 323
Jonathanview, FL 77079",56.0, Female,1963-04-28
1825,Sean Hille,"973 Vaughn Inlet
Morsestad, WV 88288",42.0, Male,1977-04-19
1826,Craig Holthaus,"37388 Robinson Harbor Apt. 515
Port Karen, MI 20618",52.0, Male,1967-01-22
1827,Thomas Mathis,"04072 Reyes Drives Apt. 598
Kevinburgh, AR 00612",, Male,1958-01-23
1828,Samuel Harris,"2328 Reyes Ports Suite 757
Foleyhaven, AR 87196",39.0, Male,1980-08-15
1829,James Menzies,"455 Amber Freeway
West Timothyland, RI 32037",57.0, Male,1962-07-21 00:00:00
1830,Joseph Goodwin,"2473 Hawkins Mall Apt. 802
Maciaschester, ME 22440",60.0, Male,1958-10-29 00 00 00
1831,Steven Schrum,"500 Sullivan Manors Suite 328
East Michael, TX 65898",, Male,1984-11-05
1832,Calvin Cobian,"17350 Shannon Station
New Kenneth, AR 98016",59.0, Female,1959-11-25
1833,Ronald Willis,"7710 Martinez Extensions Suite 462
West Yolanda, GA 19315",53.0, Male,1966-06-17 00:00:00
1834,Buck King,"60370 Armstrong Stream Apt. 696
Bennettton, MT 14593",60.0, Female,1959-06-10
1835,Leonard Wingfield,"3329 Herring Plaza
Thomasshire, WY 86161",60.0, Female,1959-05-29
1836,David Makris,"0095 Elizabeth Shore Apt. 063
Port Jorgeside, MS 15156",68.0, Male,1951-07-16
1837,Timothy Shakespeare,"176 King Highway
Karamouth, HI 10786",61.0, Female,1958-04-01
1838,Kendrick Presha,"9027 Odom Turnpike Suite 930
Lake Mariebury, ND 17682",23.0, Male,1996-07-31
1839,Albert Dwyer,"14457 Theresa Harbor Apt. 969
Port Aaron, AK 43436",54.0, Male,1965-06-03
1840,Eric Fernandez,"PSC 7242, Box 4315
APO AP 97530",36.0, Male,1983-01-24
1841,Luis Burdick,"116 Wallace Meadow Suite 259
Port Jenniferberg, DE 64633",60.0, Male,1959-10-13
1842,Christopher Divine,"642 Kristi Harbor Apt. 814
Port Brookeborough, WV 34696",45.0, Male,1974-04-06
1843,Morris Scott,"USS Welch
FPO AP 85658",53.0, Male,1965-12-08
1844,Robt Garrido,"816 Garrison Crossing
North Emmastad, NM 72026",61.0, Male,1958-03-27 00 00 00
1845,Andrew Ferrell,"39450 Coleman Ridges
Theresaton, GA 71195",62.0, Male,1957-05-20
1846,Nathaniel Kehres,"892 Hess Station Suite 513
Katieland, GA 14934",4500.0, Male,1973-11-08
1847,Jose Begley,"25174 Le Canyon
South Sandrachester, NE 57562",50.0, Female,1969-01-24
1848,Stanley Rankin,"461 Angel Glen
Russofurt, VT 61134",51.0, Female,68-02-22
1849,Eric Calvin,"7898 Tamara Valleys
Jonfurt, AK 43403",54.0, Male,1964-12-04
1850,Steven Gipson,"59592 Johnson Skyway Suite 524
Montoyaburgh, KY 67986",48.0, Female,1970-11-29
1851,Matthew Lewis,"646 Rachel Hollow Apt. 497
Stoutview, MN 15863",55.0, Male,1963-11-19
1852,Samuel Nelson,"89769 Gabrielle Fall
West Rachel, AL 44788",, Male,1977-09-13
1853,Robert Staley,"670 George Meadows Apt. 236
Heatherburgh, MT 21295",53.0, Male,1966-04-15
1854,Larry Braswell,"205 Hernandez Plaza
South Ryanville, SD 87544",65.0, Male,1954/04/20
1855,Thomas Kravitz,"USNV Ramirez
FPO AP 15625",44.0, Male,1975-08-15
1856,William Brown,"95221 Zavala Neck Suite 713
Port Stephanieton, OH 39911",40.0, Female,79-05-23
1857,Henry Hardman,"45519 Adams Mill
Lake Albert, TX 85868",60.0, Female,1959-05-07
1858,Paul Stout,"515 Anthony Mall Apt. 063
East Saraview, ND 56173",42.0, Male,1977-07-31 00 00 00
1859,John Murray,"PSC 2509, Box 3179
APO AE 63802",35.0, Female,84-08-20
1860,Dennis Martin,"1100 Andrew Fork Apt. 645
New Ryan, CA 48399",48.0, Female,1971-08-12
1861,Duane Rust,"2646 Rodriguez Club
North Davidport, WV 06240",42.0, Male,1977-08-02
1862,Andrew Kelly,"21776 Case Cove Apt. 170
Burtonmouth, NJ 41439",51.0, Male,1968-04-16
1863,Dalton Brinson,"1715 Paul Key
Lake Charles, IL 11456",47.0, Female,1972-06-17
1864,Chad Corzo,"743 Mayo Skyway Suite 545
West Brianchester, SD 02087",42.0, Female,77-05-27
1865,Denny Wright,"197 Jose Summit
Hendersonbury, PA 15734",57.0, Male,1962-05-07
1866,Trent Dewberry,"8196 Joshua Shore Suite 077
Port Karenhaven, VT 42932",53.0, Male,1966-10-24
1867,Miguel Alexander,"PSC 4530, Box 0830
APO AP 49910",52.0, Male,1966-11-29
1868,Nathan Hill,"49115 Yolanda Point Suite 761
Batesstad, LA 80345",56.0, Male,1963-08-18
1869,Frank Fabre,"Unit 5601 Box 9838
DPO AP 95943",52.0, Female,1967-05-07
1870,John True,"003 Jennifer Plaza
Amandafort, NV 42286",71.0, Male,1947-12-12
1871,Ignacio Walker,"57403 Kelsey Key
West Charles, CT 48025",47.0, Male,1972/04/11
1872,Randall Mellett,"941 Woods Walks Suite 315
North Andrealand, RI 92624",70.0, Male,1949-01-01 00 00 00
1873,Neil Slaughter,"50467 Elizabeth Rue
Bradleymouth, AK 91982",51.0, Male,1968-01-20 00:00:00
1874,Edwin Morse,"557 Margaret Vista Apt. 256
New David, MD 25440",, Female,1977/04/29
1875,Jeffrey Jenkins,"239 Robinson Forks Suite 553
Daleport, WA 53648",45.0, Male,1974/05/08
1876,Daniel Parsons,"3710 Miller Isle Apt. 373
Lake Stephanieberg, NC 76818",57.0, Female,1962-06-09 00 00 00
1877,Charles Monaghan,"USCGC Gregory
FPO AP 16846",56.0, Male,25/05/1963
1878,Martin Zimmerman,"132 Bentley Street
Gutierrezside, IN 05894",30.0, Male,1989-09-28
1879,Robert Palmer,"17573 Pamela Wells Suite 835
Jenniferland, AL 77812",53.0, Female,1966-04-12
1880,Derek Williams,"4351 Bridges Divide Suite 404
Maryport, ID 13659",64.0, Female,1954-10-30
1881,Edward Marshall,"20770 Stephenson Fall Suite 782
Gilbertborough, DC 39567",47.0, Male,1972-05-01
1882,Charles Foster,"475 Chris Cliff
New Aaron, MN 28762",65.0, Female,1954-10-27
1883,Thomas Forbes,"67047 Blake Mountains
Downsstad, RI 08722",65.0, Male,1954-07-13
1884,Philip Nickerson,"414 Wright Road Suite 804
New Carolineberg, PA 70242",50.0, Male,1968-11-19
1885,Robert Kemmerer,"38799 Alyssa Rapids
South Timothytown, AR 93674",76.0, Male,1943/05/03
1886,Stephen Gabrelcik,"9298 Nicole Isle
Lake Karenhaven, NY 11425",59.0, Male,1960-09-20
1887,Richard Causey,"15539 Williamson Manors Suite 557
Smithview, MD 95542",41.0, Female,1977-11-28
1888,Michael Sanchez,"2318 Hoffman Mountain
West Lee, TN 19867",49.0, Female,1970-01-20
1889,David Mcclean,"762 Sean Mission Apt. 870
Port Brandyview, MA 09908",43.0, Male,1976-06-13
1890,Manuel Brank,"044 Bryant Parkways
East Christinamouth, CT 45756",45.0, Male,74-07-02
1891,Andrew Dodge,"820 Garcia Islands
Lake Staceybury, NV 87944",57.0, Female,1962-04-25
1892,Ward Stike,"517 Hines Groves
Calebhaven, OK 89452",57.0, Female,1962-04-26 00:00:00
1893,Andrew Vandre,"707 Larry Path Suite 878
Port David, IN 13619",, Male,89-04-09
1894,Clay Sheffield,"764 Smith Radial Suite 923
Scottburgh, AK 25872",49.0, Male,1970-10-11
1895,David Kohler,"706 Murphy Well Apt. 052
Rodriguezshire, KS 28700",, Male,1960-06-30
1896,David Tacadina,"534 Cunningham Springs
Williamsland, MN 88735",21.0, Male,1998-09-07 00 00 00
1897,Angel Rollinger,"5529 Rasmussen Port Apt. 803
North Angelashire, DC 30165",53.0, Male,1966-01-02
1898,Harold Romanelli,"1808 Chelsea Crossroad
North Rachel, ME 94004",67.0, Female,1952-05-24
1899,Jason Prince,"84312 Brandy Tunnel
Port Sheliaside, MD 94979",43.0, Male,1976-02-09
1900,Randy Fischer,"195 Mcclain Isle Suite 961
West Greg, SC 35189",, Male,1948-03-02
1901,Donald Frase,"569 Kenneth Ferry
Brandontown, NC 48912",58.0, Male,1960-12-09 00:00:00
1902,Gregory Morrison,"301 Shawn Club
Ashleyview, NH 16257",34.0, Female,1985-04-18 00:00:00
1903,Christopher Hogan,"647 Joseph Villages Suite 062
Port Thomas, AR 43785",52.0, Male,1967-01-27
1904,Brian Lindsay,"8862 Brian Overpass Apt. 749
South Cristianchester, KS 46638",50.0, Male,1969-09-29
1905,Thomas Oconnor,"USNV Skinner
FPO AE 19822",46.0, Male,1973-07-05
1906,Sylvester Dial,"Unit 7837 Box 4362
DPO AP 20343",38.0, Male,1981-06-12
1907,Bryan Sundquist,"USCGC Anderson
FPO AA 94360",54.0, Male,1965-02-28
1908,Robert Turner,"3130 Miller Locks Apt. 372
East Sarah, NM 52879",58.0, Male,1961-08-27
1909,Charles Phillips,"0587 Joseph Lodge
South Stephanie, DC 18292",54.0, Male,1965/05/17
1910,Calvin Blanton,"86116 Lori Vista
West Angela, FL 95683",30.0, Male,1989/07/11
1911,Craig Russell,"1599 Edwards Harbors Suite 148
New Marissa, ND 33079",49.0, Male,1969-10-26
1912,Donald Doyle,"48674 Sherry Alley Suite 529
West Nicholas, RI 38799",69.0, Female,1950-02-07 00 00 00
1913,Charles Motley,"254 Mathis Point
Lake Jesusstad, AR 57391",47.0, Male,1972-07-09
1914,Scott Price,"260 Wilson Harbor Apt. 742
Mcdonaldtown, SD 51732",64.0, Male,1955-04-18 00 00 00
1915,Bruce Correll,"768 Peggy Dale Apt. 504
Cherylfurt, DE 23735",68.0, Male,1951-01-10
1916,Jonathan Willems,"2610 Richards Ridges Apt. 641
North Gabriel, DE 23597",52.0, Male,1967-03-27
1917,Donald Colon,"10808 Flores Divide Apt. 806
West William, MI 73146",57.0, Male,1962-05-15
1918,Eugene Tomsic,"08463 Ross Curve
Christieview, PA 78816",50.0, Female,1969-05-04
1919,Peter Towns,"172 James Underpass
North Daniel, DE 77866",46.0, Female,1973-02-03
1920,Santiago Edmonds,"01097 Allison Summit Apt. 882
Port Jenniferborough, TX 28074",57.0, Female,1962-07-27
1921,Leo Smith,"175 David Trace Apt. 995
Connermouth, ID 89564",-6400.0, Male,1955-08-08
1922,Tony Belizaire,"8986 Spence Road Suite 819
Perezburgh, GA 63079",51.0, Male,1968-04-03
1923,Kyle Small,"297 Cheryl Burgs Suite 621
Port Barry, WV 21395",53.0, Male,1966-07-10
1924,Thomas Parks,"32357 Allen Mill
Perrymouth, OK 33573",66.0, Male,53-01-30
1925,Gary Dover,"PSC 5782, Box 5551
APO AA 35697",, Male,1955-07-02
1926,Joshua Douglas,"14135 Morgan Trace
North Karla, IA 85975",58.0, Male,1961-04-18
1927,Howard Campos,"4004 Robles River Suite 772
South Wanda, OR 43794",47.0, Female,1972-02-06
1928,Alfred Smith,"72520 Flynn Drive
Port Frederick, NH 61866",55.0, Female,1964-10-02
1929,Hiram Humphrey,"818 Stevens Lane
Reeseland, SC 53242",62.0, Male,1957-04-06 00:00:00
1930,Marco Stanton,"958 Smith Pike Suite 249
Lake Andrewton, GA 86408",55.0, Female,21/08/1964
1931,Edwin Lemoyne,"437 Floyd Corners
Wesleyfurt, VA 78009",51.0, Male,1968/10/09
1932,William Hope,"Unit 1906 Box 9918
DPO AA 04281",39.0, Male,1980-03-11
1933,Lloyd Mosteller,"71101 Cox Ridges
Allenberg, WI 35170",54.0, Male,1964/12/16
1934,James Schreckengost,"588 Damon Corner Apt. 559
Christopherside, MO 48840",39.0, Female,1980-05-16
1935,Jason Rucker,"7575 Brown Estate
Davidberg, NE 27372",26.0, Male,1993-06-09
1936,Jason Webster,"648 David Mountain
Johnstonside, NH 41628",58.0, Male,1961-05-15
1937,Shawn Mueller,"2409 Rojas Fork
Jeffreyshire, MS 73867",70.0, Male,1949-04-29
1938,Charles Howarth,"516 Jennifer Keys Apt. 051
North Kevin, AL 37596",30.0, Male,1989-01-22
1939,Russell Norton,"896 Jennifer Springs
Michaelview, MI 35770",57.0, Male,1961-11-23
1940,Jack Congdon,"974 Barnes Vista
Richburgh, IA 08339",-5300.0, Male,1966-01-20
1941,Raymond Cooper,"740 Samantha Drive Suite 071
West Donaldberg, CT 92381",37.0, Male,1982-09-11
1942,James Boyce,"67545 Jones Inlet
Huberville, AL 33912",51.0, Male,1968-06-06 00:00:00
1943,Lonnie Grimshaw,"256 Rowe Crest Suite 619
Wilsonfurt, IN 92548",52.0, Male,1967-02-09 00 00 00
1944,Ignacio Jackson,"9059 Johnson Cliff Suite 446
Port Susanmouth, CA 75152",76.0, Male,1943-08-04 00:00:00
1945,Paul Ledbetter,"9385 Baker Alley
Lake Ericmouth, LA 43392",53.0, Male,1966-10-07
1946,Marcus Andrews,"77900 Ana Street
Michelletown, NC 70486",39.0, Female,1980-06-08
1947,Kenneth Burr,"61596 Danielle Trafficway
South Ryan, ND 49582",51.0, Male,1968-10-07
1948,Michael Gibbs,"16431 Nelson Estate
East Samanthaberg, MN 68709",38.0, Male,1981-01-04
1949,Kenneth Mcnulty,"35613 Joseph Expressway Apt. 894
Port Angela, NH 26004",67.0, Female,1952-05-24 00:00:00
1950,Christopher Thai,"746 Christina Row
Port Jason, AL 53510",52.0, Female,1966-11-04
1951,Jeffrey Dowell,"96885 Joseph Lake Suite 850
Lake Thomas, MA 30319",49.0, Male,1970-08-19
1952,James Barwick,"USNV Potter
FPO AP 27132",63.0, Male,1956-02-07
1953,Michael Foster,"453 Guzman Ranch
Port Dawnmouth, IN 29587",63.0, Female,1956-08-06
1954,Richard Kato,"54164 Ann Path Apt. 161
Port Douglasview, UT 36894",59.0, Female,1960/04/17
1955,Jeffrey Qualls,"1269 Shelby Plaza
North Louisfort, AK 13983",47.0, Female,1972-09-24
1956,Shane Smith,"USNV Rodriguez
FPO AA 80432",, Male,1952/01/27
1957,Victor Campbell,"7219 Levy Crescent Suite 692
Vancefurt, NJ 84325",61.0, Female,1957-12-25
1958,Roy Welch,"90118 Miranda Cape
Harveyport, MT 64214",62.0, Male,1956-11-10
1959,Nicholas Flink,"2275 Sanders Courts Apt. 879
Ashleyborough, RI 65652",, Male,1961-11-04
1960,James Shunk,"280 Foster Turnpike
East Kathryn, MD 34673",55.0, Male,1964-06-17
1961,Gerald Yount,"73892 Christina Rue
Mooretown, ID 33237",34.0, Male,1985/08/08
1962,Joshua Mathes,"PSC 0008, Box 7187
APO AP 08203",63.0, Male,1955/11/15
1963,Juan Thorne,"6386 Hancock Lake Suite 684
South Justin, NH 17770",42.0, Male,1977-06-20
1964,Victor Lopinto,"14239 Palmer Plaza Suite 629
Clintonhaven, CA 07833",-2900.0, Male,1989-12-04
1965,George Gilpatrick,"2906 Mitchell Crest Apt. 568
Hollyton, OH 43755",56.0, Female,1963-06-07 00 00 00
1966,Mark Bynum,"996 Katrina Prairie Apt. 873
Cherylhaven, WI 65471",45.0, Male,1973-11-29
1967,James Coats,"7704 Lauren Manors Apt. 991
Lake Marisa, WY 78259",50.0, Male,15/12/1968
1968,Robert Hyde,"PSC 8714, Box 8989
APO AE 40012",5800.0, Female,1961-08-22
1969,David Hayes,"235 Jennifer Throughway Suite 569
New Anthonyland, PA 19524",61.0, Male,1957-12-20
1970,John Jolicoeur,"0139 Christopher Valley
East Ashleyborough, MO 47613",37.0, Female,1982-04-12
1971,Albert Crews,"607 David Plaza
Lake Sarahfurt, MD 48514",, Male,1974-11-14 00 00 00
1972,Jason Granillo,"4071 Carr Skyway
Michaelstad, IN 06763",56.0, Female,1963-04-22
1973,Russell Darrough,"54473 Chelsea Drive Suite 878
Port Melissa, OH 45814",66.0, Male,1953-05-27
1974,Harold Hiles,"40820 Susan Shore
Coryville, KS 28888",55.0, Male,1964-08-24
1975,Joshua Sanders,"0629 Trevor Inlet Suite 858
Harrisonborough, CT 08462",32.0, Male,1987-07-29
1976,Roland Wilke,"USNV Gross
FPO AP 38841",48.0, Male,1971-03-09
1977,Norman Larose,"788 Kimberly Valleys Suite 998
Port Tyronebury, WA 01087",42.0, Male,1977-09-06
1978,Joseph Milam,"12742 Michael Avenue
Jenkinston, MO 54672",44.0, Male,1974-11-22
1979,Randy Wallace,"15749 Taylor Lakes
Halltown, DC 02274",47.0, Male,1972-03-30 00 00 00
1980,Franklin Vergara,"178 Watson Ramp Apt. 479
West Samantha, AK 22808",64.0, Female,1955-10-04
1981,John Burgess,"PSC 5928, Box 8810
APO AP 16961",51.0, Male,1968-07-06
1982,Grant Ard,"85739 Eric Throughway Apt. 867
South Timothy, MS 68918",4300.0, Male,19/12/1975
1983,Kyle Matthews,"045 Edwards Loop Apt. 034
Amandaport, MO 45070",57.0, Male,1961-11-15
1984,Kenneth Cilek,"78514 Brenda Point Apt. 959
Collinsshire, SC 23489",54.0, Female,16/02/1965
1985,Daryl Corbett,"9665 Matthew Trail Apt. 899
Port Sarah, CA 58685",67.0, Male,1952-07-24
1986,Kent Dawson,"3833 Hughes Court
South Kellyburgh, WY 58862",55.0, Male,1964-05-30 00 00 00
1987,Anthony Novak,"USNV Elliott
FPO AA 03321",70.0, Male,1948-12-07
1988,Clarence Grosse,"548 Lamb Parks Suite 615
Ronaldview, MA 76217",55.0, Male,1964/08/23
1989,Kenneth Green,"1381 Schneider Common Apt. 574
South Nicholashaven, NH 20188",4100.0, Female,1978-04-16
1990,Walter Villamar,"305 Tara Manor
North Melinda, GA 20671",, Male,1956-02-11
1991,Dennis Titus,"09808 Dixon Flat Suite 145
Port Sheri, WV 59254",80.0, Male,1939-09-06
1992,David Deleon,"51310 Daniel Crossroad
South Michaelside, WA 31693",56.0, Female,1963-02-20
1993,Leonard Cope,"81956 Parks Canyon Apt. 781
South Davidstad, OH 93167",44.0, Female,1975-09-25
1994,Darrell Hulbert,"0911 Jennings Lock Apt. 808
West Andrewview, MI 22664",, Male,28/03/1981
1995,Albert Vandenberge,"308 Harris Isle
South Angelahaven, NH 91965",, Male,1978-12-26
1996,Jerome Pabon,"721 James Key Apt. 353
Port Thomasmouth, NV 81997",78.0, Male,41-02-12
1997,Lloyd Sanchez,"Unit 2561 Box 1090
DPO AA 05683",54.0, Female,1965-05-12
1998,Ronald Fugate,"2207 Victoria Shoals Apt. 799
Hillmouth, KY 73837",50.0, Male,1968-12-12
1999,Jose Aigner,"76756 Ashley Mount
Gomezchester, NV 49283",30.0, Male,89-01-11
2000,Jason Ware,"PSC 8887, Box 4650
APO AP 60759",61.0, Male,1958/04/21
2001,Shane White,"868 Wilson Park
Santiagoberg, HI 14112",43.0, Male,1976-07-30
2002,Harry Armstrong,"64342 Stephanie Harbors
Dillonhaven, MT 95920",67.0, Male,1952-10-22
2003,Stephen Loeb,"115 Brittany Lake Apt. 429
Lake Max, NJ 87303",54.0, Female,65-08-25
2004,Stephen Mims,"USS Walters
FPO AA 56188",36.0, Male,1983-06-19
2005,Huey Hubbard,"37615 Cooper Lane Suite 933
Mccarthyhaven, IA 59394",42.0, Female,77-03-30
2006,Oscar Driscoll,"848 Bautista Loaf Apt. 958
Matthewtown, VA 47770",53.0, Male,1966-07-11
2007,Michael Arnold,"76978 Diane Valley Apt. 892
South Christine, NE 07113",40.0, Male,1979-03-26
2008,Bruce Eichenlaub,"23789 Ricky Summit Suite 520
Michaelchester, IN 86094",58.0, Female,1961-08-22
2009,Fernando Giles,"7298 Peterson Underpass Suite 029
East Amber, SD 78130",38.0, Male,1981-01-16
2010,Jay Montes,"78078 Donovan Trail
Port Susan, SC 05139",-4100.0, Male,1978-04-09
2011,Jody Wilcox,"02344 Watson Valley Suite 288
Jamesburgh, MI 74953",52.0, Female,67-04-05
2012,Garrett Outlaw,"764 Michael Mountain
Phillipsburgh, IN 81609",69.0, Male,1950/02/03
2013,Barry Newton,"04945 Rebecca Walks
Lake Brett, ND 86641",60.0, Male,1959-07-07
2014,Gary Anderson,"80176 Karen Locks
Sherryland, NC 20857",53.0, Male,1966-07-12
2015,Edward Sullivan,"191 Raymond Ford
Woodshire, NC 31517",66.0, Male,1953-06-14
2016,George Fazzone,"9282 Mitchell Haven Apt. 137
Andersonview, TX 11455",, Male,1950-11-05
2017,Joshua Eder,"997 White Coves
Andreaborough, NC 69022",43.0, Female,1975-11-13
2018,David Pennock,"361 Mariah Keys Apt. 948
South Gregory, OK 23007",43.0, Male,1976-10-20
2019,Timothy Waterbury,"Unit 9179 Box 2350
DPO AP 27210",43.0, Male,1975-11-26
2020,Gary Roberts,"USNS Kline
FPO AA 22212",57.0, Male,1961-10-26 00 00 00
2021,Tim Sanchez,"8629 Olivia Gateway Apt. 619
North Amandamouth, WI 33747",36.0, Male,1983-03-11
2022,Dennis Reese,"66312 Sellers Manor
Hallview, TX 13605",56.0, Female,1963-07-18
2023,Bobby Crews,"500 Jennifer Lodge Apt. 857
New Hectorfurt, TN 23913",52.0, Male,1966/11/16
2024,Jesus Clark,"13953 Thompson Unions Apt. 208
Lake Lori, AK 84460",, Male,1971-02-09
2025,Rene Wilson,"45820 Young Walks
South Leah, LA 58116",4900.0, Male,1969-11-07
2026,William Lamay,"330 Mary Locks Apt. 162
New Kylietown, ME 55604",, Female,1949-10-22
2027,Mark Davis,"8407 Krystal Fall
Thomasport, DE 55476",57.0, Male,62-07-10
2028,Martin Simmons,"3904 Melissa Crescent
Glenberg, FL 30358",40.0, Male,1979-04-30
2029,Michael Pope,"98657 Jonathan Plains
East Brianport, NM 32364",53.0, Male,1966/07/29
2030,Hershel Villasenor,"USNS Campos
FPO AA 54909",, Male,75-12-06
2031,Charles Oneill,"5153 Ellen Lodge
Armstrongburgh, AL 15166",59.0, Male,1960-05-25 00 00 00
2032,John Stone,"3835 Nathan Court Suite 576
Yeseniaport, MS 19827",42.0, Male,1977-05-20
2033,John Emily,"0184 Bryan Ridges Apt. 424
Lake Terriland, AL 96535",54.0, Female,1965-08-25
2034,Ron Thornton,"90614 Miles Hills Apt. 716
West Charles, MS 03701",70.0, Male,1949-05-04
2035,Samuel Stout,"414 Gutierrez Prairie
South Christopherborough, AK 63817",, Male,1956-03-06
2036,Milton Stamper,"89495 Hill Glen
East Jeffreyton, AK 18128",44.0, Female,29/10/1974
2037,Fred Numbers,"14924 Obrien Cape Suite 275
South Anthony, DE 94216",46.0, Female,1973-02-20
2038,Benjamin Stamper,"015 Holmes Port
Danielbury, MT 93579",17.0, Male,2002-06-16
2039,Sean Carignan,"6420 Glenn Neck Apt. 960
Lake Josephfurt, SC 98732",3100.0, Male,1988/03/29
2040,John Chafin,"59085 Green Wells Apt. 964
North Anthony, NE 07026",48.0, Male,1971-06-23 00:00:00
2041,William Lucas,"39291 Hannah Ferry
Kathleenborough, OH 97189",, Male,1965-08-01 00:00:00
2042,Ivan Lane,"509 Harris Hill
South Jean, IN 15542",59.0, Male,1960-03-06
2043,Jeff Renfroe,"882 Richard Lodge Suite 836
Ericaton, NE 01694",-6400.0, Male,1955-02-17
2044,Steven Hall,"2838 David Extensions
Carolynbury, MD 05792",49.0, Female,1970-10-05
2045,Douglas Anderson,"42954 Martinez Valleys
East Susanhaven, FL 48454",83.0, Female,1935-11-10
2046,Billy Brown,"424 Robyn Stravenue Suite 406
South David, GA 95890",52.0, Female,1967-06-20
2047,Clyde Morris,"8418 Thomas Extension
West Kelsey, MT 91372",47.0, Female,1972-08-27
2048,John Franck,"623 Desiree Run
Josephville, MI 23247",-7800.0, Female,03/04/1941
2049,Jonathon Charles,"147 Ho Rapids Apt. 612
Port Joseph, WY 56934",71.0, Female,1948-08-25 00:00:00
2050,Edward Wilson,"01757 Melissa Forest
North David, MD 54561",58.0, Female,1961-08-07
2051,Guy Vanderford,"4868 Beverly Camp Apt. 991
Phillipsville, CO 65067",43.0, Male,1976-06-16
